origin,text,type,category
manual,pillow,none,none
manual,raspberry,none,none
manual,serial,class,class
manual,managers,class,class
manual,author,class,class
manual,soybean,none,none
manual,id,integer,attribute
manual,explorer,class,class
manual,house,class,class
manual,appointment,class,class
manual,flight,class,abstract-class
manual,checkbook,class,class
manual,outcome,string,attribute
manual,submission,class,class
manual,fisherman,class,class
manual,time of event,time,attribute
manual,seller,class,class
manual,flight,class,abstract-class
manual,probability,float,attribute
manual,manager,class,class
manual,requirement,class,class
manual,veteran,class,class
manual,bankbook,class,class
manual,arrival,time,attribute
manual,time of league,time,attribute
manual,taxpayer,class,class
manual,institution,class,class
manual,band,class,class
manual,division,class,class
manual,assistants,class,class
manual,coverall,none,none
manual,columnist,class,class
manual,legislature,class,class
manual,salesman,class,class
manual,honeybee,none,none
manual,housewife,class,class
manual,presentation time,time,attribute
manual,year,string,attribute
manual,labourer,class,class
manual,representative,class,class
manual,sectional,enumeration,attribute
manual,entrepreneur,class,class
manual,farm,class,class
manual,bidder,class,class
manual,mailer,class,class
manual,middleman,none,none
manual,bid,class,class
manual,accessory,class,class
manual,judgment,enumeration,attribute
manual,flight,class,abstract-class
manual,labour,class,class
manual,researcher,class,class
manual,performance,enumeration,attribute
manual,subscription,class,class
manual,flight,class,abstract-class
manual,student,class,class
manual,flight,class,abstract-class
manual,bank,class,class
manual,style,enumeration,attribute
manual,senate,class,class
manual,scope,enumeration,attribute
manual,timing,time,attribute
manual,court,class,class
manual,poet,class,class
manual,flesh,none,none
manual,interaction,none,none
manual,postman,class,class
manual,violence,none,none
manual,architect,class,class
manual,flight,class,abstract-class
manual,plowman,class,class
manual,part-type,enumeration,attribute
manual,website,string,attribute
manual,doe,none,none
manual,inspector,class,class
manual,bowling,none,none
manual,event,class,abstract-class
manual,car,class,class
manual,leg,class,class
manual,director,class,class
manual,country,string,attribute
manual,passport,class,class
manual,pelt,none,none
manual,party,class,class
manual,patient,class,class
manual,pirate,class,class
manual,printer,class,class
manual,gadget,class,class
manual,hiring time,time,attribute
manual,name,string,attribute
manual,tutor,class,class
manual,driver,class,class
manual,segment,enumeration,attribute
manual,registration,class,class
manual,total,float,attribute
manual,dealer,class,class
manual,name,string,attribute
manual,alligator,class,class
manual,netsuke,none,none
manual,baby,class,class
manual,seminar,class,class
manual,paddock,none,none
manual,event date,date,attribute
manual,price,float,attribute
manual,female,none,none
manual,device,class,class
manual,resort,none,none
manual,code,string,attribute
manual,cottage,class,class
manual,branch,class,abstract-class
manual,article,class,class
manual,introduction,string,attribute
manual,mayor,class,class
manual,wingman,class,class
manual,ranger,class,class
manual,authority,class,class
manual,book,class,abstract-class
manual,affinity,none,none
manual,allergist,class,class
manual,manufacturer,class,class
manual,surname,string,attribute
manual,institute,class,class
manual,caption,none,none
manual,accelerant,class,class
manual,section,enumeration,attribute
manual,ectodermal,none,none
manual,leisure,class,class
manual,politician,class,class
manual,baker,class,class
manual,patriarch,none,none
manual,accountant,class,class
manual,measurement,string,attribute
manual,flights,class,abstract-class
manual,repair,class,class
manual,ambassador,class,class
manual,copyright,class,class
manual,pile,none,none
manual,reference,string,attribute
manual,courthouse,class,class
manual,number,string,attribute
manual,bag,class,class
manual,victim,class,class
manual,fighter,class,class
manual,cruise,class,abstract-class
manual,mechanic,class,class
manual,gain,float,attribute
manual,cartoon,class,class
manual,dust,none,none
manual,office,class,class
manual,enzyme,none,none
manual,associate,class,class
manual,mascara,none,none
manual,alien,class,class
manual,drainage,none,none
manual,bunkhouse,class,class
manual,impairment,none,none
manual,part,class,class
manual,citizen,class,class
manual,laundry,none,none
manual,crawdad,none,none
manual,licence,class,class
manual,contractor,class,class
manual,flight,class,abstract-class
manual,route,class,class
manual,caravan,none,none
manual,tinderbox,none,none
manual,branch,class,abstract-class
manual,technician,class,class
manual,payment,class,class
manual,monopoly,none,none
manual,profile,class,class
manual,grade,class,class
manual,indicator,string,attribute
manual,parties,class,class
manual,tractor,class,class
manual,dune,none,none
manual,oeuvre,none,none
manual,manager,class,class
manual,puddle,none,none
manual,cheetah,none,none
manual,carter,class,class
manual,number,integer,attribute
manual,waiter,class,class
manual,camera,class,class
manual,flight,class,abstract-class
manual,opponent,none,none
manual,cabbage,none,none
manual,record,none,none
manual,loyalty,none,none
manual,church,class,class
manual,amendment,class,class
manual,destination,string,attribute
manual,earnings,float,attribute
manual,payee,class,class
manual,train,class,abstract-class
manual,commission,class,class
manual,degree,float,attribute
manual,leek,class,class
manual,mother name,string,attribute
manual,legal,class,class
manual,safety,none,none
manual,list,enumeration,attribute
manual,photographer,class,class
manual,make,enumeration,attribute
manual,trip,class,abstract-class
manual,agenda,string,attribute
manual,mansion,class,class
manual,strobe,none,none
manual,date of event,date,attribute
manual,subcomponent,class,class
manual,age,integer,attribute
manual,realization,none,none
manual,train,class,abstract-class
manual,poem,class,class
manual,waitress,class,class
manual,processor,class,class
manual,congressman,class,class
manual,wheel,class,class
manual,legacy,class,class
manual,start time,time,attribute
manual,catalyst,none,none
manual,studio,class,class
manual,savory,none,none
manual,order,enumeration,attribute
manual,quote,class,class
manual,confirmation,none,none
manual,venue,class,class
manual,apartment,class,class
manual,length,float,attribute
manual,digit,string,attribute
manual,premium,float,attribute
manual,method,enumeration,attribute
manual,claim,float,attribute
manual,visa,class,class
manual,breed,enumeration,attribute
manual,gesture,none,none
manual,agency,class,class
manual,disembodiment,none,none
manual,comment,string,attribute
manual,nationality,enumeration,attribute
manual,credit,float,attribute
manual,width,float,attribute
manual,route,class,class
manual,body,class,class
manual,champagne,none,none
manual,cadet,class,class
manual,fertilizer,class,class
manual,landform,none,none
manual,metric,enumeration,attribute
manual,sprat,none,none
manual,attendant,class,class
manual,crusader,class,class
manual,profit,float,attribute
manual,genre,enumeration,attribute
manual,make,enumeration,attribute
manual,count,integer,attribute
manual,flight,class,abstract-class
manual,employer,class,class
manual,party,class,class
manual,recall,float,attribute
manual,activity,class,abstract-class
manual,barcode,integer,attribute
manual,Employee,class,class
manual,cheque,class,class
manual,competition,none,none
manual,interviewer,class,class
manual,voter,class,class
manual,scale,enumeration,attribute
manual,stroke,class,class
manual,inscription,none,none
manual,term,enumeration,attribute
manual,enterprise,class,class
manual,award,class,class
manual,nightgown,none,none
manual,volunteer,class,class
manual,column number,integer,attribute
manual,portfolio,class,class
manual,resistance,float,attribute
manual,SIN,string,attribute
manual,presentation date,date,attribute
manual,transport,none,none
manual,amount,float,attribute
manual,worshiper,class,class
manual,guitarist,class,class
manual,cookbook,class,class
manual,teammate,class,class
manual,books,class,abstract-class
manual,amount,integer,attribute
manual,source,string,attribute
manual,sender,class,class
manual,prompt,none,none
manual,legume,class,class
manual,kettledrum,none,none
manual,legitimacy,class,class
manual,producer,class,class
manual,co-producer,class,class
manual,details,string,attribute
manual,teachers,class,class
manual,festival,class,class
manual,flight,class,abstract-class
manual,trafficker,class,class
manual,executor,class,class
manual,flight,class,abstract-class
manual,feature,class,class
manual,taxicab,class,class
manual,flight,class,abstract-class
manual,captain,class,class
manual,location,string,attribute
manual,place,class,class
manual,scholarship,class,class
manual,left,class,class
manual,mortal,none,none
manual,product,class,abstract-class
manual,racer,class,class
manual,assignment,class,class
manual,secretary,class,class
manual,assistant,class,class
manual,scooter,class,class
manual,fact,none,none
manual,investor,class,class
manual,pantry,class,class
manual,invoice,class,class
manual,granola,none,none
manual,cashier,class,class
manual,developer,class,class
manual,ship,class,class
manual,comfortable,none,none
manual,webpage,string,attribute
manual,workplace,class,class
manual,supermarket,class,class
manual,engine,class,class
manual,cake,class,class
manual,pharmacist,class,class
manual,joining time,time,attribute
manual,pattern,enumeration,attribute
manual,supplier,class,class
manual,subsection,none,none
manual,median,float,attribute
manual,caribou,none,none
manual,flight,class,abstract-class
manual,webinar,class,class
manual,colony,class,class
manual,maniac,none,none
manual,clerk,class,class
manual,evidence,class,class
manual,variant,enumeration,attribute
manual,grade,float,attribute
manual,head,class,class
manual,recipe,class,class
manual,questionnaire,class,class
manual,flight,class,abstract-class
manual,registration,class,class
manual,certificate,class,class
manual,train,class,abstract-class
manual,deposit,float,attribute
manual,legging,class,class
manual,shop,class,class
manual,sand,none,none
manual,retirement,date,attribute
manual,form,enumeration,attribute
manual,vintner,none,none
manual,prelude,none,none
manual,firing time,time,attribute
manual,barcode,integer,attribute
manual,model number,string,attribute
manual,flight,class,abstract-class
manual,state,string,attribute
manual,donut,none,none
manual,investigator,class,class
manual,gravel,none,none
manual,battleship,class,class
manual,account,class,class
manual,leeway,class,class
manual,area,float,attribute
manual,row,integer,attribute
manual,lecture,class,class
manual,hospital,class,class
manual,commercial,class,class
manual,species,enumeration,attribute
manual,penalty,enumeration,attribute
manual,complex,class,class
manual,movie,class,abstract-class
manual,scientist,class,class
manual,technologist,class,class
manual,product,class,abstract-class
manual,train,class,abstract-class
manual,submission date,date,attribute
manual,bandwidth,float,attribute
manual,heat,none,none
manual,flight,class,abstract-class
manual,creator,none,none
manual,upward,none,none
manual,barcode number,integer,attribute
manual,chemistry,none,none
manual,chairman,class,class
manual,rice,none,none
manual,value,string,attribute
manual,criteria,string,attribute
manual,flight,class,abstract-class
manual,solicitor,class,class
manual,car,class,class
manual,fireplace,class,class
manual,houses,class,class
manual,designation,string,attribute
manual,collector,class,class
manual,almighty,none,none
manual,phone,integer,attribute
manual,plane,class,abstract-class
manual,birdhouse,class,class
manual,house,class,class
manual,observatory,class,class
manual,modem,class,class
manual,counselor,class,class
manual,start date,date,attribute
manual,officer,class,class
manual,congressperson,class,class
manual,grasshopper,none,none
manual,worker,class,class
manual,nation,enumeration,attribute
manual,characteristic,string,attribute
manual,courtroom,class,class
manual,inventory,class,class
manual,Department,class,class
manual,class,class,abstract-class
manual,label,string,attribute
manual,whole,none,none
manual,bus,class,abstract-class
manual,office address,string,attribute
manual,invasion,none,none
manual,id,integer,attribute
manual,abbreviation,string,attribute
manual,police,class,class
manual,birth,date,attribute
manual,playwright,class,class
manual,committee,class,class
manual,verdict,enumeration,attribute
manual,barber,class,class
manual,utilization,float,attribute
manual,range,enumeration,attribute
manual,stinger,none,none
manual,index,integer,attribute
manual,point,class,class
manual,campus,class,class
manual,trustee,class,class
manual,teacher,class,class
manual,fav,none,none
manual,methodology,enumeration,attribute
manual,instructor,class,class
manual,crewmate,class,class
manual,university id,string,attribute
manual,flight,class,abstract-class
manual,identity,none,none
manual,player,class,class
manual,first name,string,attribute
manual,mail,string,attribute
manual,region,string,attribute
manual,administrator,class,class
manual,today's date,date,attribute
manual,academy,class,class
manual,mean,float,attribute
manual,lemonade,class,class
manual,bandanna,none,none
manual,airbus,class,class
manual,fisting,none,none
manual,washer,none,none
manual,maize,none,none
manual,professor,class,class
manual,mortgage,class,class
manual,rank,enumeration,attribute
manual,chit-chat,none,none
manual,ounce,none,none
manual,bore,class,class
manual,limit,float,attribute
manual,cake,class,class
manual,win,none,none
manual,engine,string,attribute
manual,coaster,none,none
manual,malnutrition,none,none
manual,registrations,class,class
manual,chief,class,class
manual,plunger,class,class
manual,college,class,class
manual,kamikaze,none,none
manual,subroutine,class,class
manual,resource,class,class
manual,date of league,date,attribute
manual,period,enumeration,attribute
manual,validity,date,attribute
manual,scholar,class,class
manual,mobile,class,class
manual,auditorium,class,class
manual,exam date,date,attribute
manual,accelerator,class,class
manual,profession,class,class
manual,dancer,class,class
manual,bowling,none,none
manual,experiment,class,class
manual,chauffeur,class,class
manual,townhouse,class,class
manual,airman,class,class
manual,nickname,string,attribute
manual,leagues,class,class
manual,flight,class,abstract-class
manual,arena,class,class
manual,warrant,none,none
manual,game,class,class
manual,partner,class,class
manual,professor,class,class
manual,teams,class,class
manual,archer,class,class
manual,flights,class,abstract-class
manual,weight,float,attribute
manual,server,class,class
manual,color,string,attribute
manual,dungarees,none,none
manual,bartender,class,class
manual,dentist,class,class
manual,crewmen,class,class
manual,crewman,class,class
manual,SUV,class,class
manual,organisation,class,class
manual,plane,class,class
manual,last name,string,attribute
manual,classive,string,attribute
manual,departure,time,attribute
manual,removal,none,none
manual,socialist,class,class
manual,sunlamp,none,none
manual,flights,class,abstract-class
manual,password,string,attribute
manual,detector,none,none
manual,artist,class,class
manual,valentine,none,none
manual,flight,class,abstract-class
manual,jail,class,class
manual,supply,none,none
manual,customers,class,class
manual,flights,class,abstract-class
manual,city name,string,attribute
manual,sponsorship,class,class
manual,textbook,class,class
manual,schema,class,class
manual,tutors,class,class
manual,motorcar,class,class
manual,airport,class,class
manual,overview,string,attribute
manual,affiliate,class,class
manual,company,class,class
manual,mission,class,class
manual,conspirator,class,class
manual,severity,enumeration,attribute
manual,boat,class,class
manual,modernist,class,class
manual,branch,class,abstract-class
manual,person,class,class
manual,flight,class,abstract-class
manual,daily,none,none
manual,body,class,class
manual,name,string,attribute
manual,letter,string,attribute
manual,class,enumeration,attribute
manual,asset,class,class
manual,budget,float,attribute
manual,inventor,class,class
manual,building,class,class
manual,treaty,none,none
manual,accident,class,class
manual,length,float,attribute
manual,resignation time,time,attribute
manual,section,enumeration,attribute
manual,principal,class,class
manual,width,float,attribute
manual,bike,class,class
manual,sector,enumeration,attribute
manual,session,class,class
manual,message,string,attribute
manual,zone,enumeration,attribute
manual,phone,integer,attribute
manual,slippers,none,none
manual,visitor,class,class
manual,fees,float,attribute
manual,purity,none,none
manual,books,class,abstract-class
manual,employee,class,class
manual,town,class,class
manual,critic,class,class
manual,surgeon,class,class
manual,ratio,float,attribute
manual,taxi,class,class
manual,itinerary,class,class
manual,impact,none,none
manual,accuracy,float,attribute
manual,fireman,class,class
manual,sail,none,none
manual,enjoyment,none,none
manual,timer,float,attribute
manual,specification,string,attribute
manual,shareholder,class,class
manual,reward,string,attribute
manual,detective,class,class
manual,standard,class,class
manual,region,string,attribute
manual,subway,none,none
manual,counsellor,class,class
manual,file,class,class
manual,spec,string,attribute
manual,racism,none,none
manual,tournament,class,class
manual,aircraft,class,class
manual,motorcycle,class,class
manual,information,none,none
manual,date,date,attribute
manual,curriculum,class,class
manual,gym,class,class
manual,clinic,class,class
manual,style,enumeration,attribute
manual,sanctuary,class,class
manual,plate,none,none
manual,refreshments,none,none
manual,flight,class,abstract-class
manual,savings,float,attribute
manual,journal,class,class
manual,sports,class,class
manual,flight,class,abstract-class
manual,spectacle,none,none
manual,train,class,abstract-class
manual,flights,class,abstract-class
manual,safari,none,none
manual,catalogue,class,class
manual,regulator,class,class
manual,receiver,class,class
manual,instrument,class,class
manual,composer,class,class
manual,play date,date,attribute
manual,anniversary,date,attribute
manual,repository,class,class
manual,flight,class,abstract-class
manual,investment,class,class
manual,teacher,class,class
manual,flight,class,abstract-class
manual,elite,none,none
manual,deadline,date,attribute
manual,listing,enumeration,attribute
manual,reporter,class,class
manual,legend,class,class
manual,catalog,enumeration,attribute
manual,parcel,class,class
manual,sign,string,attribute
manual,family,enumeration,attribute
manual,shutdown,none,none
manual,monument,class,class
manual,meridian,float,attribute
manual,hunchback,none,none
manual,spot,none,none
manual,joining date,date,attribute
manual,ukulele,none,none
manual,submarine,class,class
manual,course,class,abstract-class
manual,schizophrenic,none,none
manual,atelier,class,class
manual,type,enumeration,attribute
manual,commuter,none,none
manual,lending,class,class
manual,helicopter,class,class
manual,league,class,abstract-class
manual,concert,class,abstract-class
manual,oxygen,none,none
manual,commodity,class,class
manual,icing,none,none
manual,flight,class,abstract-class
manual,map,class,class
manual,aide,class,class
manual,supper,none,none
manual,classroom,class,class
manual,circuit,none,none
manual,analyst,class,class
manual,ingredient,class,class
manual,sailboat,class,class
manual,percentage,float,attribute
manual,flicker,none,none
manual,flight,class,abstract-class
manual,armpit,none,none
manual,cash,none,none
manual,pressure,float,attribute
manual,sink,none,none
manual,porter,class,class
manual,books,class,abstract-class
manual,date,date,attribute
manual,sailor,class,class
manual,category,enumeration,attribute
manual,prisoner,class,class
manual,customer,class,class
manual,village,class,class
manual,account,class,class
manual,victim,class,class
manual,room,class,class
manual,gender,enumeration,attribute
manual,linguist,class,class
manual,Plane,class,class
manual,monitor,none,none
manual,association,class,class
manual,labor,class,class
manual,customer,class,class
manual,balloonist,class,class
manual,shape,enumeration,attribute
manual,strobe,none,none
manual,painter,class,class
manual,tray,none,none
manual,branch,class,abstract-class
manual,partridge,none,none
manual,conformation,none,none
manual,conference,class,class
manual,destiny,string,attribute
manual,pocket-watch,none,none
manual,psychologist,class,class
manual,guest,class,class
manual,average,float,attribute
manual,sex,enumeration,attribute
manual,angle,float,attribute
manual,flight,class,abstract-class
manual,resolution,none,none
manual,hostess,class,class
manual,type,enumeration,attribute
manual,books,class,abstract-class
manual,highway name,string,attribute
manual,patent,class,class
manual,philosopher,class,class
manual,suite,class,class
manual,flights,class,abstract-class
manual,attribute,string,attribute
manual,occasion,none,none
manual,sport,class,class
manual,program,class,abstract-class
manual,university,class,class
manual,currency,string,attribute
manual,factory,none,none
manual,type of fuel,enumeration,attribute
manual,highway,class,class
manual,catalogue,enumeration,attribute
manual,nurse,class,class
manual,triangle,none,none
manual,copy,class,abstract-class
manual,flight,class,abstract-class
manual,transcript,class,class
manual,consulate,class,class
manual,flight,class,abstract-class
manual,ship,class,abstract-class
manual,weapon,class,class
manual,implication,none,none
manual,diversity,none,none
manual,date of joining,date,attribute
manual,alias,string,attribute
manual,column,integer,attribute
manual,cost,float,attribute
manual,classmate,class,class
manual,detail,string,attribute
manual,TV,class,class
manual,weight,float,attribute
manual,candle,class,class
manual,timeout,time,attribute
manual,election,class,abstract-class
manual,transport,class,class
manual,system,class,class
manual,trains,class,abstract-class
manual,salary,float,attribute
manual,city,class,class
manual,test,class,class
manual,ATM,class,class
manual,prize,string,attribute
manual,expert,class,class
manual,shopper,class,class
manual,episode,class,class
manual,scenario,class,class
manual,pilot,class,class
manual,creditor,class,class
manual,poll,class,class
manual,flights,class,abstract-class
manual,function,class,class
manual,admin,class,class
manual,man,class,class
manual,output,string,attribute
manual,cabinet,class,class
manual,flight,class,abstract-class
manual,email,string,attribute
manual,policy,class,class
manual,correspondent,class,class
manual,folder,none,none
manual,title,string,attribute
manual,freighter,none,none
manual,anarchist,class,class
manual,underwear,none,none
manual,result,float,attribute
manual,playground,class,class
manual,recommendation,enumeration,attribute
manual,farmer,class,class
manual,loincloth,none,none
manual,cat,class,class
manual,sort,enumeration,attribute
manual,passing,none,none
manual,status,enumeration,attribute
manual,part,class,class
manual,speedboat,class,class
manual,scalp,none,none
manual,longitude,float,attribute
manual,cutting,none,none
manual,response,none,none
manual,runner,none,none
manual,abstract,string,attribute
manual,satellite,class,class
manual,entity,class,class
manual,flight,class,abstract-class
manual,activist,class,class
manual,ratio,float,attribute
manual,income,float,attribute
manual,employment,class,class
manual,fuel,class,class
manual,no.,integer,attribute
manual,document,class,class
manual,tourist,class,class
manual,duration,time,attribute
manual,title,string,attribute
manual,bustle,none,none
manual,score,float,attribute
manual,bus,class,abstract-class
manual,equipment,class,class
manual,currency type,enumeration,attribute
manual,wholesaler,class,class
manual,princess,class,class
manual,flights,class,abstract-class
manual,playroom,class,class
manual,failure,none,none
manual,consideration,none,none
manual,seminar,class,class
manual,airplane,class,class
manual,airspace,class,class
manual,glimpse,none,none
manual,time of joining,time,attribute
manual,boatload,none,none
manual,companies,class,class
manual,scheme,class,class
manual,comportment,class,class
manual,archives,none,none
manual,flight,class,abstract-class
manual,ophthalmologist,class,class
manual,branch,class,abstract-class
manual,flight,class,abstract-class
manual,troop,none,none
manual,time of birth,time,attribute
manual,forebear,none,none
manual,passenger,class,class
manual,result,float,attribute
manual,event,class,abstract-class
manual,sensor,class,class
manual,cafe,class,class
manual,flights,class,abstract-class
manual,soldier,class,class
manual,ID,integer,attribute
manual,seat,class,class
manual,flow,none,none
manual,plot,class,class
manual,affidavit,class,class
manual,binoculars,none,none
manual,prescription,class,class
manual,flight,class,abstract-class
manual,transaction,class,class
manual,organising,none,none
manual,supervisor,class,class
manual,Track,class,class
manual,stadium,class,class
manual,family,enumeration,attribute
manual,level,enumeration,attribute
manual,submitter,class,class
manual,diving,none,none
manual,Teacher,class,class
manual,flights,class,abstract-class
manual,vaccine,class,class
manual,accommodation,class,class
manual,kind,enumeration,attribute
manual,legislator,class,class
manual,CD,class,class
manual,flight,class,abstract-class
manual,ephemeris,none,none
manual,museum,class,class
manual,digestive,none,none
manual,certification,class,class
manual,blow,none,none
manual,link,class,class
manual,columns,integer,attribute
manual,journey,class,class
manual,trade,enumeration,attribute
manual,department,class,class
manual,citizenship,enumeration,attribute
manual,elections,class,class
manual,metronome,none,none
manual,staff,class,class
manual,branches,class,abstract-class
manual,lemur,class,class
manual,subject,class,class
manual,student,class,class
manual,servant,class,class
manual,cabin,class,class
manual,recliner,none,none
manual,nun,class,class
manual,webmail,string,attribute
manual,examiner,class,class
manual,death,date,attribute
manual,flight,class,abstract-class
manual,crime,class,class
manual,notation,enumeration,attribute
manual,income,float,attribute
manual,permanent address,string,attribute
manual,archaeologist,class,class
manual,boutique,none,none
manual,particle,class,class
manual,transmission,none,none
manual,supporter,class,class
manual,figure,class,class
manual,saxophone,none,none
manual,laboratory,class,class
manual,programme,class,class
manual,missile,class,class
manual,teen,none,none
manual,Police,class,class
manual,laborer,class,class
manual,doctor,class,class
manual,branch,class,abstract-class
manual,passport,class,class
manual,cranberry,none,none
manual,organization,class,class
manual,farrow,none,none
manual,smuggling,none,none
manual,designer,class,class
manual,game,class,class
manual,qualification,string,attribute
manual,native,none,none
manual,bridge,none,none
manual,combination,none,none
manual,employee,class,class
manual,dory,none,none
manual,publisher,class,class
manual,prophet,none,none
manual,artifact,class,class
manual,occupation,string,attribute
manual,advertisement,class,class
manual,edge,none,none
manual,ambulance,class,class
manual,sale,class,class
manual,status,enumeration,attribute
manual,inquiry,class,class
manual,vehicle,class,class
manual,reason,none,none
manual,instrumentalist,class,class
manual,casino,class,class
manual,magazine,class,class
manual,goal,string,attribute
manual,traveler,class,class
manual,chateau,class,class
manual,vote,class,class
manual,latitude,float,attribute
manual,commitment,class,class
manual,chairperson,class,class
manual,tenet,none,none
manual,saving,float,attribute
manual,ban,enumeration,attribute
manual,craftsman,class,class
manual,criminal,class,class
manual,flight,class,abstract-class
manual,operator,class,class
manual,pantologist,class,class
manual,country,enumeration,attribute
manual,feature,class,class
manual,book,class,abstract-class
manual,conservation,none,none
manual,counter,integer,attribute
manual,candidate,class,class
manual,middle name,string,attribute
manual,areas,string,attribute
manual,flight,class,abstract-class
manual,friend,none,none
manual,aeroplane,class,class
manual,dose,none,none
manual,simple,none,none
manual,jailhouse,class,class
manual,typewriter,class,class
manual,time of birth,time,attribute
manual,flight,class,abstract-class
manual,viewer,class,class
manual,cow,none,none
manual,trip,class,abstract-class
manual,flight,class,abstract-class
manual,number,integer,attribute
manual,component,class,class
manual,receptor,class,class
manual,team,class,class
manual,train,class,abstract-class
manual,finishing time,time,attribute
manual,questioner,class,class
manual,animal,class,class
manual,ownership,none,none
manual,password,string,attribute
manual,outhouse,class,class
manual,wriggler,none,none
manual,coordinator,class,class
manual,sort,enumeration,attribute
manual,diet,none,none
manual,preoccupation,none,none
manual,flight,class,abstract-class
manual,effort,none,none
manual,scene,class,class
manual,street,string,attribute
manual,trip,class,abstract-class
manual,grease,none,none
manual,games,class,class
manual,language,class,class
manual,lawyer,class,class
manual,lead,none,none
manual,event time,time,attribute
manual,company,class,class
manual,residence,string,attribute
manual,inbox,none,none
manual,case,class,class
manual,snowman,class,class
manual,vehicle,class,abstract-class
manual,dependent,class,class
manual,protein,none,none
manual,point,class,class
manual,seagull,none,none
manual,pancake,none,none
manual,advocate,class,class
manual,marks,float,attribute
manual,item,class,class
manual,brilliant,none,none
manual,minnow,none,none
manual,glucose,none,none
manual,weight,float,attribute
manual,chronometer,none,none
manual,donation,float,attribute
manual,transactions,class,class
manual,lemon,class,class
manual,strudel,none,none
manual,moat,none,none
manual,rider,class,class
manual,flight,class,abstract-class
manual,notice,string,attribute
manual,participant,class,class
manual,exercise,class,class
manual,warlock,none,none
manual,anesthesiologist,class,class
manual,pack,none,none
manual,motorboat,class,class
manual,rank,enumeration,attribute
manual,mailman,class,class
manual,film,class,class
manual,tax,float,attribute
manual,creationist,class,class
manual,note,class,class
manual,summary,string,attribute
manual,address,string,attribute
manual,exam time,time,attribute
manual,license,class,class
manual,finishing date,date,attribute
manual,passbook,class,class
manual,houseboat,class,class
manual,weedkiller,none,none
manual,sportsman,class,class
manual,journey,class,class
manual,member,class,class
manual,bribery,none,none
manual,work,class,class
manual,subcontractor,class,class
manual,cylinder,class,class
manual,subgroup,class,class
manual,jury,class,class
manual,psychiatrist,class,class
manual,quest,none,none
manual,copywriter,class,class
manual,residue,string,attribute
manual,godmother,none,none
manual,lender,class,class
manual,fingerprint code,string,attribute
manual,panel,class,class
manual,currency,enumeration,attribute
manual,video,class,class
manual,membership,class,class
manual,set,enumeration,attribute
manual,luggage,class,class
manual,banker,class,class
manual,pricing,float,attribute
manual,practitioner,class,class
manual,exam,class,class
manual,chair,class,class
manual,woman,class,class
manual,rent,float,attribute
manual,variety,enumeration,attribute
manual,examination,class,class
manual,flight,class,abstract-class
manual,discount,float,attribute
manual,ssn,string,attribute
manual,firing date,date,attribute
manual,web,string,attribute
manual,menu,class,class
manual,bank,class,class
manual,person,class,class
manual,lab,class,class
manual,pigsty,none,none
manual,afterlife,none,none
manual,estimate,string,attribute
manual,value,float,attribute
manual,commerce,class,class
manual,airline,class,class
manual,time,time,attribute
manual,percent,float,attribute
manual,panpipe,none,none
manual,councilor,class,class
manual,satisfaction,enumeration,attribute
